AATS2i,BIC3,ETA_BetaP_s,GATS6m,IC2,JGI3,MDEN-22,MLFER_BO,WTPT-5,maxHother,maxaaN,maxssNH,nT6HeteroRing
-1.63141303,0.284204263,-1.010269714,0.987946468,-0.036023561,1.531821467,-0.577866323,-0.285700161,-0.49318281,0.278984768,-0.216977701,-1.272802408,-0.443869406
-0.540065554,1.640047589,-0.173369719,-0.124395224,0.849485423,1.238247944,2.038794746,-0.078463763,0.507573649,0.725600334,-1.70372416,-0.181148792,-0.443869406
-0.971822004,0.19307539,-0.603612398,-0.414807552,-0.062655348,1.03241443,0.528026277,0.052476647,0.021910803,-0.417388396,-1.70372416,0.164864385,-0.443869406
-0.901767827,0.553542588,-0.716593898,-0.040168601,-0.040387659,0.692159175,0.528026277,0.223627105,0.016480298,0.010829306,-1.70372416,0.240708126,-0.443869406
-0.443792848,0.320355437,0.09862278,0.830966352,1.288105765,0.635449927,-1.407234931,-0.770282783,-0.383483561,-1.99059094,0.950540991,0.153732851,-0.443869406
0.709339617,-1.640505545,0.274752188,1.126699001,0.150835207,-0.449586481,-1.005459433,-0.009384964,1.092334295,-0.550693844,0.903057255,-0.818605811,0.706908392
-0.961254062,0.773421571,-0.144839037,-0.409901647,0.132255083,1.330137865,0.528026277,-0.181566449,0.514526706,0.146244392,-1.70372416,-0.000895895,-0.443869406
-1.62177051,-0.794581014,-1.531810575,1.040321101,-0.464814238,1.237740909,-0.577866323,-0.051657065,-0.985783668,-0.110441899,-0.036463671,-0.725255726,-0.443869406
-1.594839521,-0.673326145,-1.828149255,0.551001515,-0.528336445,0.299556886,-0.577866323,0.078252319,-0.980231312,-0.769336041,-1.70372416,0.810244686,-0.443869406
-1.603649104,0.481231283,-1.260198486,0.420409625,-0.066336783,0.692159175,-0.577866323,-0.155790777,-0.487627643,-0.089903844,-1.70372416,0.607026632,-0.443869406
-1.419150178,0.158956443,-1.169661122,-0.358446965,-1.330066629,-0.158479079,-1.584843434,-1.579638864,-1.986026075,-2.757855937,-1.70372416,-2.058507018,-0.443869406
-0.691239824,1.411972557,0.030529553,0.547394124,0.96818778,1.986314362,0.214101347,0.420553234,0.582299332,0.235600231,-1.70372416,-0.192604619,-0.443869406
-1.034858944,1.550698749,-0.444981808,0.541318559,1.042022904,1.986314362,0.214101347,0.444266852,0.582299332,0.161856514,-1.70372416,-0.089390032,-0.443869406
-0.91377453,-0.876594116,-1.251829486,0.132327942,-0.494031605,0.299556886,0.528026277,0.457670201,-0.47613439,-0.60281798,-1.70372416,0.382607854,-0.443869406
-1.36179873,0.465821539,-1.39600453,0.324076475,-1.218421537,0.058046982,-1.584843434,-1.593042213,-1.986125344,-2.721108147,-1.70372416,-2.058507018,-0.443869406
0.547824109,0.003416544,-0.51535749,-2.002666971,-0.203712789,-0.033121886,0.216491984,0.027732003,0.005725225,0.38482727,0.191050698,0.676342138,-0.443869406
-0.291953825,-0.198149263,0.981552275,0.753290773,0.487345928,0.86384049,0.793170798,1.289708873,1.189113217,0.142594204,1.575426818,0.587588267,0.706908392
0.157910145,-0.635993415,-0.904135578,0.644607275,-0.678863629,-1.100115855,-1.31843068,-0.814616938,-1.471940764,-1.017987162,-1.70372416,0.787892859,-0.443869406
0.037237816,-0.053426016,-1.219875122,-2.021792594,-0.510091122,-0.033121886,-0.896080779,-0.439323162,-0.500192839,-1.975566286,-1.70372416,0.980034304,-0.443869406
-0.620180623,-0.929461746,0.868190366,1.001203935,-0.05612532,-0.537669124,0.793170798,1.330949947,1.18799991,-0.514215352,1.775065672,0.628216867,0.706908392
-0.291953825,-0.521198246,0.981552275,0.688856649,0.351343955,0.668077134,0.793170798,1.272181417,1.187769053,0.142859538,1.558693832,0.507357915,0.706908392
-0.32630287,-0.695040892,0.704994867,0.884545745,0.607411988,-0.32437471,0.793170798,1.289708873,1.186513943,-0.645427276,1.858612286,0.669489925,0.706908392
-0.331155046,-0.502765702,0.868190366,1.011986037,0.718778008,-0.046832863,0.793170798,1.289708873,1.185941517,-0.63143976,1.834052143,0.660441893,0.706908392
-0.355964183,-1.239389586,1.147410637,0.943933842,-0.214833596,-0.32437471,1.509454773,1.413432096,1.679102037,-0.488205515,1.760819109,0.6221994,0.706908392
